Gene.name.mouse,Gene.stable.ID.mouse,Gene.description.mouse,Chromosome.scaffold.name.mouse,Gene.start..bp.mouse,Gene.end..bp.mouse,Strand.mouse,homology.type,orthology.confidence..0.low..1.high.,Gene.name.human,Gene.stable.ID.human,Gene.description.human,Chromosome.scaffold.name.human,Gene.start..bp.human,Gene.end..bp.human,Strand.1.human
mt-Nd1,ENSMUSG00000064341,mitochondrially encoded NADH dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:101787],MT,2751,3707,1,ortholog_one2one,1,MT-ND1,ENSG00000198888,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455],MT,3307,4262,1
mt-Nd5,ENSMUSG00000064367,mitochondrially encoded NADH dehydrogenase 5 [Source:MGI Symbol;Acc:MGI:102496],MT,11742,13565,1,ortholog_one2one,1,MT-ND5,ENSG00000198786,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461],MT,12337,14148,1
mt-Co2,ENSMUSG00000064354,mitochondrially encoded cytochrome c oxidase II [Source:MGI Symbol;Acc:MGI:102503],MT,7013,7696,1,ortholog_one2one,1,MT-CO2,ENSG00000198712,mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421],MT,7586,8269,1
mt-Nd6,ENSMUSG00000064368,mitochondrially encoded NADH dehydrogenase 6 [Source:MGI Symbol;Acc:MGI:102495],MT,13552,14070,-1,ortholog_one2one,1,MT-ND6,ENSG00000198695,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462],MT,14149,14673,-1
mt-Nd4l,ENSMUSG00000065947,mitochondrially encoded NADH dehydrogenase 4L [Source:MGI Symbol;Acc:MGI:102497],MT,9877,10173,1,ortholog_one2one,1,MT-ND4L,ENSG00000212907,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460],MT,10470,10766,1
mt-Atp6,ENSMUSG00000064357,mitochondrially encoded ATP synthase 6 [Source:MGI Symbol;Acc:MGI:99927],MT,7927,8607,1,ortholog_one2one,1,MT-ATP6,ENSG00000198899,mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414],MT,8527,9207,1
mt-Nd3,ENSMUSG00000064360,mitochondrially encoded NADH dehydrogenase 3 [Source:MGI Symbol;Acc:MGI:102499],MT,9459,9806,1,ortholog_one2one,1,MT-ND3,ENSG00000198840,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458],MT,10059,10404,1
mt-Co1,ENSMUSG00000064351,mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:102504],MT,5328,6872,1,ortholog_one2one,1,MT-CO1,ENSG00000198804,mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419],MT,5904,7445,1
mt-Nd2,ENSMUSG00000064345,mitochondrially encoded NADH dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:102500],MT,3914,4951,1,ortholog_one2one,1,MT-ND2,ENSG00000198763,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456],MT,4470,5511,1
mt-Co3,ENSMUSG00000064358,mitochondrially encoded cytochrome c oxidase III [Source:MGI Symbol;Acc:MGI:102502],MT,8607,9390,1,ortholog_one2one,1,MT-CO3,ENSG00000198938,mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422],MT,9207,9990,1
mt-Nd4,ENSMUSG00000064363,mitochondrially encoded NADH dehydrogenase 4 [Source:MGI Symbol;Acc:MGI:102498],MT,10167,11544,1,ortholog_one2one,1,MT-ND4,ENSG00000198886,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459],MT,10760,12137,1
mt-Cytb,ENSMUSG00000064370,mitochondrially encoded cytochrome b [Source:MGI Symbol;Acc:MGI:102501],MT,14145,15288,1,ortholog_one2one,1,MT-CYB,ENSG00000198727,mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427],MT,14747,15887,1
Usp9y,ENSMUSG00000069044,"ubiquitin specific peptidase 9, Y chromosome [Source:MGI Symbol;Acc:MGI:1313274]",Y,1298961,1459782,-1,ortholog_one2one,1,USP9Y,ENSG00000114374,ubiquitin specific peptidase 9 Y-linked [Source:HGNC Symbol;Acc:HGNC:12633],Y,12537650,12860839,1
Tmsb4x,ENSMUSG00000049775,"thymosin, beta 4, X chromosome [Source:MGI Symbol;Acc:MGI:99510]",X,165990089,165992311,-1,ortholog_one2one,1,TMSB4Y,ENSG00000154620,thymosin beta 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:11882],Y,13703899,13706024,1
Ddx3y,ENSMUSG00000069045,"DEAD box helicase 3, Y-linked [Source:MGI Symbol;Acc:MGI:1349406]",Y,1260771,1286629,-1,ortholog_one2one,1,DDX3Y,ENSG00000067048,DEAD-box helicase 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:2699],Y,12904108,12920478,1
Kdm5d,ENSMUSG00000056673,lysine (K)-specific demethylase 5D [Source:MGI Symbol;Acc:MGI:99780],Y,897788,956786,1,ortholog_one2one,1,KDM5D,ENSG00000012817,lysine demethylase 5D [Source:HGNC Symbol;Acc:HGNC:11115],Y,19703865,19744939,-1
Zfx,ENSMUSG00000079509,zinc finger protein X-linked [Source:MGI Symbol;Acc:MGI:99211],X,93118237,93167308,-1,ortholog_one2one,1,ZFY,ENSG00000067646,zinc finger protein Y-linked [Source:HGNC Symbol;Acc:HGNC:12870],Y,2935281,2982506,1
Skor2,ENSMUSG00000091519,SKI family transcriptional corepressor 2 [Source:MGI Symbol;Acc:MGI:3645984],18,76944100,76988037,1,ortholog_one2one,1,SKOR2,ENSG00000215474,SKI family transcriptional corepressor 2 [Source:HGNC Symbol;Acc:HGNC:32695],18,47206169,47251660,-1
Slc5a3,ENSMUSG00000089774,"solute carrier family 5 (inositol transporters), member 3 [Source:MGI Symbol;Acc:MGI:1858226]",16,91855210,91884361,1,ortholog_one2one,1,SLC5A3,ENSG00000198743,solute carrier family 5 member 3 [Source:HGNC Symbol;Acc:HGNC:11038],21,34073578,34106260,1
