Gene.name.mouse,Gene.stable.mouse,Gene.description.mouse,Chromosome.scaffold.name.mouse,Gene.start..bp.mouse,Gene.end..bp.mouse,Strand.mouse,homology.type,orthology.confidence..0.low..1.high,Gene.name.zebrafish,Gene.stable.ID.zebrafish,Gene.description.zebrafish,Chromosome.scaffold.name.zebrafish,Gene.start..bp.zebrafish,Gene.end..bp.zebrafish,Strand.zebrafish
Ndufb7,ENSMUSG00000033938,NADH:ubiquinone oxidoreductase subunit B7 [Source:MGI Symbol;Acc:MGI:1914166],8,84293300,84298255,1,ortholog_one2one,1,ndufb7,ENSDARG00000033789,NADH:ubiquinone oxidoreductase subunit B7 [Source:ZFIN;Acc:ZDB-GENE-040426-1886],1,55780128,55785722,-1
Fam162a,ENSMUSG00000003955,"family with sequence similarity 162, member A [Source:MGI Symbol;Acc:MGI:1917436]",16,35864131,35891964,-1,ortholog_one2one,1,fam162a,ENSDARG00000063344,family with sequence similarity 162 member A [Source:NCBI gene;Acc:336363],24,20927135,20934666,1
Iqch,ENSMUSG00000037801,IQ motif containing H [Source:MGI Symbol;Acc:MGI:1925500],9,63328737,63509775,-1,ortholog_one2one,1,iqch,ENSDARG00000015476,IQ motif containing H [Source:NCBI gene;Acc:567336],18,19820008,19880934,1
Usp3,ENSMUSG00000032376,ubiquitin specific peptidase 3 [Source:MGI Symbol;Acc:MGI:2152450],9,66421919,66500424,-1,ortholog_one2one,1,usp3,ENSDARG00000045641,ubiquitin specific peptidase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-5142],25,26738450,26753196,-1
Hapln4,ENSMUSG00000007594,hyaluronan and proteoglycan link protein 4 [Source:MGI Symbol;Acc:MGI:2679531],8,70536107,70543512,1,ortholog_one2one,1,hapln4,ENSDARG00000018542,hyaluronan and proteoglycan link protein 4 [Source:ZFIN;Acc:ZDB-GENE-060503-243],22,17828267,17831253,1
Tmem177,ENSMUSG00000036975,transmembrane protein 177 [Source:MGI Symbol;Acc:MGI:1913593],1,119835620,119840938,-1,ortholog_one2one,1,tmem177,ENSDARG00000069301,transmembrane protein 177 [Source:NCBI gene;Acc:556875],9,29034221,29039506,-1
Ctdp1,ENSMUSG00000033323,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1 [Source:MGI Symbol;Acc:MGI:1926953]",18,80451174,80512910,-1,ortholog_one2one,1,ctdp1,ENSDARG00000017522,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1 [Source:ZFIN;Acc:ZDB-GENE-040720-1]",19,11632834,11846958,-1
Dync2i2,ENSMUSG00000039715,dynein 2 intermediate chain 2 [Source:MGI Symbol;Acc:MGI:1919070],2,29921558,29938893,-1,ortholog_one2one,1,wdr34,ENSDARG00000057635,WD repeat domain 34 [Source:ZFIN;Acc:ZDB-GENE-070928-9],21,13217896,13225402,-1
Samd4,ENSMUSG00000021838,sterile alpha motif domain containing 4 [Source:MGI Symbol;Acc:MGI:1921730],14,47120311,47343272,1,ortholog_one2one,1,samd4a,ENSDARG00000075759,sterile alpha motif domain containing 4A [Source:ZFIN;Acc:ZDB-GENE-070720-7],17,15033822,15117508,1
Gfi1,ENSMUSG00000029275,growth factor independent 1 transcription repressor [Source:MGI Symbol;Acc:MGI:103170],5,107864523,107873902,-1,ortholog_one2one,1,gfi1ab,ENSDARG00000044457,growth factor independent 1A transcription repressor b [Source:ZFIN;Acc:ZDB-GENE-040116-8],6,29004062,29007493,-1
Plod2,ENSMUSG00000032374,"procollagen lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:MGI Symbol;Acc:MGI:1347007]",9,92424276,92490481,1,ortholog_one2one,1,plod2,ENSDARG00000011821,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:ZFIN;Acc:ZDB-GENE-070326-1]",24,5237709,5314707,1
Tmem214,ENSMUSG00000038828,transmembrane protein 214 [Source:MGI Symbol;Acc:MGI:1916046],5,31025356,31036524,1,ortholog_one2one,1,tmem214,ENSDARG00000016968,transmembrane protein 214 [Source:ZFIN;Acc:ZDB-GENE-110307-2],4,764100,779796,-1
Creb3l1,ENSMUSG00000027230,cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062],2,91812673,91854847,-1,ortholog_one2one,1,creb3l1,ENSDARG00000015793,cAMP responsive element binding protein 3-like 1 [Source:ZFIN;Acc:ZDB-GENE-030219-181],7,38897836,38954874,1
Fa2h,ENSMUSG00000033579,fatty acid 2-hydroxylase [Source:MGI Symbol;Acc:MGI:2443327],8,112071767,112120456,-1,ortholog_one2one,1,fa2h,ENSDARG00000090063,fatty acid 2-hydroxylase [Source:ZFIN;Acc:ZDB-GENE-031219-4],25,13558992,13614863,-1
Dnah3,ENSMUSG00000052273,"dynein, axonemal, heavy chain 3 [Source:MGI Symbol;Acc:MGI:2683040]",7,119521894,119694503,-1,ortholog_one2one,1,dnah3,ENSDARG00000068468,dynein axonemal heavy chain 3 [Source:ZFIN;Acc:ZDB-GENE-091112-7],24,39443874,39511864,1
Hoxb3,ENSMUSG00000048763,homeobox B3 [Source:MGI Symbol;Acc:MGI:96184],11,96214152,96238756,1,ortholog_one2one,1,hoxb3a,ENSDARG00000029263,homeobox B3a [Source:NCBI gene;Acc:30339],3,23697997,23771945,1
Lsm11,ENSMUSG00000044847,U7 snRNP-specific Sm-like protein LSM11 [Source:MGI Symbol;Acc:MGI:1919540],11,45819096,45835762,-1,ortholog_one2one,1,lsm11,ENSDARG00000090854,"LSM11, U7 small nuclear RNA associated [Source:ZFIN;Acc:ZDB-GENE-050309-124]",14,35392736,35405723,-1
Nrap,ENSMUSG00000049134,nebulin-related anchoring protein [Source:MGI Symbol;Acc:MGI:1098765],19,56308467,56378469,-1,ortholog_one2one,1,nrap,ENSDARG00000009341,nebulin-related anchoring protein [Source:ZFIN;Acc:ZDB-GENE-060616-224],12,30586599,30618440,1
Deptor,ENSMUSG00000022419,DEP domain containing MTOR-interacting protein [Source:MGI Symbol;Acc:MGI:2146322],15,54975713,55122667,1,ortholog_one2one,1,deptor,ENSDARG00000040930,DEP domain containing MTOR-interacting protein [Source:ZFIN;Acc:ZDB-GENE-061013-453],16,14588141,14675907,1
Pdcd7,ENSMUSG00000041837,programmed cell death 7 [Source:MGI Symbol;Acc:MGI:1859170],9,65253386,65266925,1,ortholog_one2one,1,pdcd7,ENSDARG00000038976,programmed cell death 7 [Source:ZFIN;Acc:ZDB-GENE-040728-3],7,13684012,13737618,1
Gpr101,ENSMUSG00000036357,G protein-coupled receptor 101 [Source:MGI Symbol;Acc:MGI:2685211],X,56542028,56549117,-1,ortholog_one2one,1,gpr101,ENSDARG00000039218,G protein-coupled receptor 101 [Source:ZFIN;Acc:ZDB-GENE-070914-1],14,31890001,31893996,-1
Slc15a4,ENSMUSG00000029416,"solute carrier family 15, member 4 [Source:MGI Symbol;Acc:MGI:2140796]",5,127672728,127709961,-1,ortholog_one2one,1,slc15a4,ENSDARG00000102612,solute carrier family 15 member 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1047],8,35809081,35960987,-1
Ciao2b,ENSMUSG00000031879,cytosolic iron-sulfur assembly component 2B [Source:MGI Symbol;Acc:MGI:1915773],8,105366470,105368597,-1,ortholog_one2one,1,ciao2b,ENSDARG00000052010,cytosolic iron-sulfur assembly component 2B [Source:ZFIN;Acc:ZDB-GENE-040718-148],7,44965773,44970994,-1
Med6,ENSMUSG00000002679,mediator complex subunit 6 [Source:MGI Symbol;Acc:MGI:1917042],12,81620331,81641782,-1,ortholog_one2one,1,med6,ENSDARG00000034734,mediator complex subunit 6 [Source:NCBI gene;Acc:415174],13,36135122,36141486,-1
