Gene.name.human,Gene.stable.ID.human,Gene.description.human,Chromosome.scaffold.name.human,Gene.start..bp.human,Gene.end..bp.human,Strand.human,homology.type,orthology.confidence..0.low..1.high.,Gene.name.zebrafish,Gene.stable.ID.zebrafish,Gene.description.zebrafish,Chromosome.scaffold.name.zebrafish,Gene.start..bp.zebrafish,Gene.end..bp.zebrafish,Strand.zebrafish
PLOD2,ENSG00000152952,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]",3,146069440,146163653,-1,ortholog_one2one,1,plod2,ENSDARG00000011821,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:ZFIN;Acc:ZDB-GENE-070326-1]",24,5237709,5314707,1
USP3,ENSG00000140455,ubiquitin specific peptidase 3 [Source:HGNC Symbol;Acc:HGNC:12626],15,63504511,63594640,1,ortholog_one2one,1,usp3,ENSDARG00000045641,ubiquitin specific peptidase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-5142],25,26738450,26753196,-1
HMGCS1,ENSG00000112972,3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007],5,43287470,43313512,-1,ortholog_one2one,1,hmgcs1,ENSDARG00000103025,3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble) [Source:ZFIN;Acc:ZDB-GENE-040426-1042],10,6010570,6034397,1
NARF,ENSG00000141562,nuclear prelamin A recognition factor [Source:HGNC Symbol;Acc:HGNC:29916],17,82458180,82490537,1,ortholog_one2one,1,narf,ENSDARG00000024184,nuclear prelamin A recognition factor [Source:NCBI gene;Acc:436614],12,33460794,33474029,1
USE1,ENSG00000053501,unconventional SNARE in the ER 1 [Source:HGNC Symbol;Acc:HGNC:30882],19,17215346,17219829,1,ortholog_one2one,1,use1,ENSDARG00000007250,unconventional SNARE in the ER 1 homolog (S. cerevisiae) [Source:NCBI gene;Acc:393294],22,11070842,11079068,-1
CYP27B1,ENSG00000111012,cytochrome P450 family 27 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2606],12,57762334,57768986,-1,ortholog_one2one,1,cyp27b1,ENSDARG00000045015,"cytochrome P450, family 27, subfamily B, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-111005-2]",11,329687,339847,1
RAB9B,ENSG00000123570,"RAB9B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14090]",X,103822327,103832257,-1,ortholog_one2one,1,rab9b,ENSDARG00000103391,"RAB9B, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-091118-112]",14,14603731,14607855,-1
SLC39A9,ENSG00000029364,solute carrier family 39 member 9 [Source:HGNC Symbol;Acc:HGNC:20182],14,69398015,69462390,1,ortholog_one2one,1,slc39a9,ENSDARG00000070447,solute carrier family 39 member 9 [Source:NCBI gene;Acc:541413],17,48126944,48157178,1
SAMD4A,ENSG00000020577,sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:HGNC:23023],14,54566117,54793315,1,ortholog_one2one,1,samd4a,ENSDARG00000075759,sterile alpha motif domain containing 4A [Source:ZFIN;Acc:ZDB-GENE-070720-7],17,15033822,15117508,1
TMEM214,ENSG00000119777,transmembrane protein 214 [Source:HGNC Symbol;Acc:HGNC:25983],2,27032910,27041694,1,ortholog_one2one,1,tmem214,ENSDARG00000016968,transmembrane protein 214 [Source:ZFIN;Acc:ZDB-GENE-110307-2],4,764100,779796,-1
